,Id,Username,Text,Date,Hashtags
46,684162085542965250,cycle_okb,Amazon出品中。AirMac Expressベースステーション（802.11n Wi-Fi対応モデル）MC414J/A Amazon最安値更新中!! 限定1点 http://www.amazon.co.jp/gp/aag/main/ref=olp_merch_name_1?ie=UTF8&amp;asin=B008COK9GQ&amp;isAmazonFulfilled=0&amp;seller=A2EP4UPH8GQDCE #amazon #apple #Mac,2016-01-04 23:58:46+00:00,#amazon #apple #Mac
47,684161958174683136,iphone_noticia,Apple hace SPAM del iPhone 6s desde la App Store http://bit.ly/22HEzEc #iPhone #Apple ,2016-01-04 23:58:16+00:00,#iPhone #Apple
48,684161953284096000,iphone6es,Apple hace SPAM del iPhone 6s desde la App Store #iPhone #Apple http://goo.gl/kfIoyv,2016-01-04 23:58:15+00:00,#iPhone #Apple
49,684161915350716417,runaairando,"☆iPod touch 第3世代 MC008J/A 32GB☆中古品♪ 現在価格:6,800… http://dlvr.it/DBBbf4 #アップル #apple #followmejp",2016-01-04 23:58:06+00:00,#apple #followmejp
50,684524580485132288,AppsforCollege,#Fitbit takes on #Apple with #smartwatch,2016-01-05 23:59:12+00:00,#Fitbit #Apple #smartwatch
51,684524574336237570,gfeedk,Déjà vu? OS X e iOS são apontados como os sistemas operacionais mais vulneráveis de 2015 #apple #macOS #iOS http://ift.tt/1JsqljY,2016-01-05 23:59:11+00:00,#apple #macOS #iOS
52,684524478840217601,janetcarrillo11,#Apple #iPhone5s Smartphone Giveaway - http://www.paidfreedroid.com/2016/01/apple-iphone-5s-16gb-space-grey-giveaway.html @PaidFreeDroid,2016-01-05 23:58:48+00:00,#Apple #iPhone5s
53,684524417360113665,SUP3RBEASTO,#Apple will reportedly cut #iPhone 6S and iPhone 6S Plus production by 30% http://venturebeat.com/2016/01/05/apple-will-reportedly-cut-iphone-6s-and-iphone-6s-plus-production-by-30/ via @VentureBeat,2016-01-05 23:58:33+00:00,#Apple #iPhone
54,684524411286851584,Eme091,So I wasn't a fan of #apple b4 now I bought a new #iMac for my wife for Xmas and have to drive 2 hrs to the repair store its new wtf,2016-01-05 23:58:32+00:00,#apple #iMac
55,684524336946921472,CreativeOctpus,"Sony's big CES 2016 press show starts at 8PM ET, join us! http://dlvr.it/DBhMTP #apple #mac",2016-01-05 23:58:14+00:00,#apple #mac
56,684524312657813506,lajornadaonline,Prevén recorte en producción de #iPhone6S y #iPhone6SPlus #Apple http://lajor.mx/1kJPKdt,2016-01-05 23:58:08+00:00,#iPhone6S #iPhone6SPlus #Apple
